elapsed_s,q_w,q_x,q_y,q_z,wheel_cmd,wheel_rpm,gps_bx,gps_by,gps_bz,gps_x,gps_y,gps_z
0.2093198299407959,0.09471099823713303,0.9771699905395508,0.07382400333881378,-0.1752689927816391,0,,34.31357643712186,5.951867006470189,-8.474531608759447,-6654.361010355675,999.4475270642232,-272.0926446440765
0.7287609577178955,0.09463299810886383,0.9771890044212341,0.07373599708080292,-0.17524099349975586,0,,34.31357643712186,5.951867006470189,-8.474531608759447,-6654.361010355675,999.4475270642232,-272.0926446440765
0.8071136474609375,0.09463000297546387,0.9771869778633118,0.07372400164604187,-0.17525899410247803,0,,34.31357643712186,5.951867006470189,-8.474531608759447,-6654.361010355675,999.4475270642232,-272.0926446440765
0.879913330078125,0.09461499750614166,0.9771900177001953,0.07369399815797806,-0.17526200413703918,0,,34.31357643712186,5.951867006470189,-8.474531608759447,-6654.361010355675,999.4475270642232,-272.0926446440765
0.9573538303375244,0.09460899978876114,0.9771959781646729,0.07367700338363647,-0.1752379983663559,0,,34.31357643712186,5.951867006470189,-8.474531608759447,-6654.361010355675,999.4475270642232,-272.0926446440765
1.0311064720153809,0.09460800141096115,0.9771950244903564,0.0736979991197586,-0.1752379983663559,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.1101784706115723,0.09459500014781952,0.9771959781646729,0.07368399947881699,-0.175245001912117,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.1853265762329102,0.0946120023727417,0.9771999716758728,0.07366800308227539,-0.17522099614143372,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.2574150562286377,0.09459000080823898,0.9772030115127563,0.07363399863243103,-0.17522799968719482,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.3311140537261963,0.0945969969034195,0.9772049784660339,0.07365600019693375,-0.17520299553871155,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.4021408557891846,0.09461899846792221,0.9771999716758728,0.07366299629211426,-0.17521700263023376,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.482783317565918,0.09461300075054169,0.977200984954834,0.07363100349903107,-0.17522600293159485,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.5587561130523682,0.09460099786520004,0.9772059917449951,0.07362200319766998,-0.17520900070667267,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.6298143863677979,0.09459900110960007,0.9772049784660339,0.07364500313997269,-0.1752070039510727,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.7022321224212646,0.0946040004491806,0.9772019982337952,0.07365699857473373,-0.17521999776363373,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.7799334526062012,0.09459199756383896,0.9772030115127563,0.07364799827337265,-0.1752219945192337,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.8572356700897217,0.09460800141096115,0.9771990180015564,0.0736590027809143,-0.1752309948205948,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
1.9321269989013672,0.09461600333452225,0.977200984954834,0.07367300242185593,-0.17520999908447266,0,,34.308421306159495,5.952806671328176,-8.426702696134624,-6655.347904805411,993.7960731741211,-269.03611976125615
2.0061545372009277,0.09460599720478058,0.9772040247917175,0.07366500049829483,-0.17520399391651154,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.081076145172119,0.09459199756383896,0.977213978767395,0.07361900061368942,-0.17517100274562836,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.1612179279327393,0.0944570004940033,0.9772440195083618,0.07362399995326996,-0.17507900297641754,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.2310729026794434,0.0945340022444725,0.9772019982337952,0.0737060010433197,-0.17523300647735596,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.306196928024292,0.0944570004940033,0.9772210121154785,0.07374200224876404,-0.17515499889850616,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.3811087608337402,0.09338299930095673,0.9774540066719055,0.07397499680519104,-0.1743299961090088,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.4575440883636475,0.07415100187063217,0.9797520041465759,0.06584999710321426,-0.17393100261688232,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.537336587905884,0.06261900067329407,0.9864159822463989,0.06618700176477432,-0.136680006980896,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.6062991619110107,0.03896699845790863,0.9918580055236816,0.069691002368927,-0.09921199828386307,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.6789441108703613,0.018306000158190727,0.9920409917831421,0.07739599794149399,-0.09761299937963486,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.7531659603118896,0.005501000210642815,0.9917659759521484,0.0806960016489029,-0.09928900003433228,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.827353000640869,-0.0036899999249726534,0.9936220049858093,0.07672200351953506,-0.08255600184202194,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.9013848304748535,-0.004209999926388264,0.9934849739074707,0.07330600172281265,-0.08716099709272385,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
2.980254650115967,0.007879000157117844,0.9933919906616211,0.07092499732971191,-0.08988799899816513,0,,34.3026293933552,5.953857417643259,-8.373438631936576,-6656.4452122156445,987.4616882031024,-265.6396475868819
3.0572917461395264,0.034860000014305115,0.9888820052146912,0.07343900203704834,-0.1245189979672432,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.1289849281311035,0.05538500100374222,0.9865009784698486,0.0710349977016449,-0.13675999641418457,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.207014322280884,0.0607369989156723,0.9858850240707397,0.07253500074148178,-0.1381320059299469,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.2832815647125244,0.06180800125002861,0.98574298620224,0.07340200245380402,-0.13821299374103546,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.3571488857269287,0.06207700073719025,0.9857010245323181,0.07343299686908722,-0.13837400078773499,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.432302713394165,0.06227700039744377,0.9856629967689514,0.07343100011348724,-0.13855400681495667,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.5058772563934326,0.06241999939084053,0.9856410026550293,0.07338500022888184,-0.13867199420928955,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.577280044555664,0.06251399964094162,0.9856259822845459,0.07333700358867645,-0.1387619972229004,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.652369260787964,0.06259900331497192,0.985614001750946,0.07327999919652939,-0.138837993144989,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.7274036407470703,0.06268399953842163,0.985601007938385,0.07322800159454346,-0.13891999423503876,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.8073198795318604,0.06275399774312973,0.9855890274047852,0.0731550008058548,-0.13901099562644958,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.8813178539276123,0.0627949982881546,0.985584020614624,0.07307899743318558,-0.13907000422477722,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
3.9554426670074463,0.06283800303936005,0.9855800271034241,0.07298000156879425,-0.13913199305534363,0,,34.296807422270824,5.95488481244061,-8.320186265380292,-6657.534791795143,981.1261797426416,-262.242828736163
4.02984356880188,0.06286100298166275,0.9855809807777405,0.0728980004787445,-0.13915899395942688,0,,34.29095542606101,5.955888836564706,-8.266945819685853,-6658.616642504088,974.7895539394756,-258.84566764489676
4.1066601276397705,0.06289800256490707,0.9855780005455017,0.07280199974775314,-0.13921000063419342,0,,34.29095542606101,5.955888836564706,-8.266945819685853,-6658.616642504088,974.7895539394756,-258.84566764489676
4.178311586380005,0.06292299926280975,0.9855769872665405,0.07267799973487854,-0.13927499949932098,0,,34.29095542606101,5.955888836564706,-8.266945819685853,-6658.616642504088,974.7895539394756,-258.84566764489676
4.252152919769287,0.0629350021481514,0.9855800271034241,0.07257399708032608,-0.13930200040340424,0,,34.29095542606101,5.955888836564706,-8.266945819685853,-6658.616642504088,974.7895539394756,-258.84566764489676
4.328029632568359,0.06294900178909302,0.9855790138244629,0.07244700193405151,-0.13936400413513184,0,,34.29095542606101,5.955888836564706,-8.266945819685853,-6658.616642504088,974.7895539394756,-258.84566764489676
